       angle          sin          cos          tan          sec          csc          cot
           0       0.0000       1.0000       0.0000       0.0000       0.7032          inf
           3       0.0523       0.9986       0.0524       1.0014      19.1073      19.0811
           6       0.1045       0.9945       0.1051       1.0055       9.5668       9.5144
           9       0.1564       0.9877       0.1584       1.0125       6.3925       6.3138
          12       0.2079       0.9781       0.2126       1.0223       4.8097       4.7046
          15       0.2588       0.9659       0.2679       1.0353       3.8637       3.7321
          18       0.3090       0.9511       0.3249       1.0515       3.2361       3.0777
          21       0.3584       0.9336       0.3839       1.0711       2.7904       2.6051
          24       0.4067       0.9135       0.4452       1.0946       2.4586       2.2460
          27       0.4540       0.8910       0.5095       1.1223       2.2027       1.9626
          30       0.5000       0.8660       0.5774       1.1547       2.0000       1.7321
          33       0.5446       0.8387       0.6494       1.1924       1.8361       1.5399
          36       0.5878       0.8090       0.7265       1.2361       1.7013       1.3764
          39       0.6293       0.7771       0.8098       1.2868       1.5890       1.2349
          42       0.6691       0.7431       0.9004       1.3456       1.4945       1.1106
          45       0.7071       0.7071       1.0000       1.4142       0.7071       4.0000
          48       0.7431       0.6691       1.1106       1.4945       1.3456       0.9004
          51       0.7771       0.6293       1.2349       1.5890       1.2868       0.8098
          54       0.8090       0.5878       1.3764       1.7013       1.2361       0.7265
          57       0.8387       0.5446       1.5399       1.8361       1.1924       0.6494
          60       0.8660       0.5000       1.7320       2.0000       1.1547       0.5774
          63       0.8910       0.4540       1.9626       2.2027       1.1223       0.5095
          66       0.9135       0.4067       2.2461       2.4586       1.0946       0.4452
          69       0.9336       0.3584       2.6051       2.7904       1.0711       0.3839
          72       0.9511       0.3090       3.0777       3.2361       1.0515       0.3249
          75       0.9659       0.2588       3.7321       3.8637       1.0353       0.2679
          78       0.9781       0.2079       4.7046       4.8097       1.0223       0.2126
          81       0.9877       0.1564       6.3138       6.3925       1.0125       0.1584
          84       0.9945       0.1045       9.5144       9.5668       1.0055       0.1051
          87       0.9986       0.0523      19.0811      19.1073       1.0014       0.0524
          90       1.0000       0.0000          inf          inf       1.0000       0.0000
